id,ent_corto,ent,n_municipios,loc_visitadas,dm_cxc,dm_ems,dm_tot,cl_cxc,cl_ems,cl_tot,puc_cxc,puc_ems,puc_tot,viviendas,porc_viv,pobreza,hli,elec_gob_2020_21
1,Ags,Aguascalientes,11,"2,925","228,083","29,705","257,788","431,217","39,959","471,176","249,885","39,959","289,844","339,512",0.6718,0.2618,0.0013,0
2,BC,Baja California,5,"7,898","767,758","58,336","826,094","1,557,641","88,596","1,646,237","908,534","88,596","997,130","1,074,429",0.7146,0.2326,0.0147,1
3,BCS,Baja California Sur,5,"3,982","123,036","3,478","126,514","254,290","23,380","277,670","115,844","23,380","139,224","255,062",0.4824,0.1807,0.0263,1
4,Camp,Campeche,11,"4,922","260,555","21,954","282,509","581,291","33,293","614,584","317,861","33,293","351,154","252,458",1.0321,0.4625,0.1004,1
5,Coah,Coahuila,38,"10,453","393,099","28,603","421,702","857,832","60,790","918,622","441,145","60,790","501,935","840,362",0.4678,0.2249,0.0029,1
6,Col,Colima,10,"2,884","140,072","19,099","159,171","293,349","24,102","317,451","161,211","24,102","185,313","228,268",0.6136,0.3087,0.0112,1
7,Chis,Chiapas,123,"27,538","1,624,133","140,021","1,764,154","3,688,298","193,032","3,881,330","2,349,075","193,032","2,542,107","1,307,648",1.242,0.7641,0.2711,0
8,Chih,Chihuahua,67,"22,602","705,740","77,603","783,343","2,091,721","103,463","2,195,184","778,462","103,463","881,925","1,147,242",0.6152,0.2628,0.0222,1
9,CDMX,Ciudad de México,16,721,"1,233,188","213,584","1,446,772","2,221,938","253,326","2,475,264","1,368,339","253,326","1,621,665","2,601,456",0.474,0.3055,0.0141,0
10,Dgo,Durango,39,"10,062","360,415","41,716","402,131","701,330","58,009","759,339","421,537","58,009","479,546","487,076",0.74,0.3735,0.0007,0
11,Gto,Guanajuato,46,"11,431","1,152,757","93,772","1,246,529","2,317,465","140,417","2,457,882","1,225,191","140,417","1,365,608","1,484,258",0.7767,0.4338,0.0015,0
12,Gro,Guerrero,81,"9,584","1,214,488","70,804","1,285,292","3,632,469","131,765","3,764,234","1,634,517","131,765","1,766,282","979,579",1.2398,0.6647,0.166,1
13,Hgo,Hidalgo,84,"5,312","683,415","78,438","761,853","2,153,708","114,091","2,267,799","858,768","114,091","972,859","835,372",0.8181,0.4385,0.156,1
14,Jal,Jalisco,125,"19,446","1,179,507","148,623","1,328,130","2,196,799","194,147","2,390,946","1,196,512","194,147","1,390,659","2,218,018",0.5318,0.2843,0.0046,0
15,EdoMéx,México,125,"5,240","2,150,933","376,793","2,527,726","4,239,406","495,466","4,734,872","2,399,487","495,466","2,894,953","4,718,047",0.4559,0.4272,0.0285,0
16,Mich,Michoacán,113,"11,764","1,021,765","73,271","1,095,036","2,667,203","105,496","2,772,699","1,129,595","105,496","1,235,091","1,245,124",0.8206,0.4604,0.0145,1
17,Mor,Morelos,35,"1,928","359,956","44,390","404,346","890,779","54,739","945,518","409,198","54,739","463,937","553,497",0.6503,0.5082,0.0335,0
18,Nay,Nayarit,20,"4,892","271,763","24,929","296,692","665,460","36,226","701,686","294,003","36,226","330,229","368,108",0.7383,0.3477,0.0513,1
19,NL,Nuevo León,51,"10,813","714,259","87,876","802,135","1,535,027","118,040","1,653,067","796,242","118,040","914,282","1,481,448",0.4821,0.1453,0.0143,1
20,Oax,Oaxaca,570,"13,085","1,247,476","75,106","1,322,582","4,607,445","128,654","4,736,099","2,103,667","128,654","2,232,321","1,114,641",1.1192,0.6635,0.291,0
21,Pue,Puebla,217,"8,037","1,196,904","155,799","1,352,703","2,848,168","209,356","3,057,524","1,575,841","209,356","1,785,197","1,626,750",0.7358,0.5892,0.0294,0
22,Qro,Querétaro,18,"2,889","264,448","48,080","312,528","525,373","61,327","586,700","265,743","61,327","327,070","560,999",0.4714,0.2758,0.0145,1
23,QRoo,Quintana Roo,11,"4,159","296,333","21,801","318,134","649,551","47,752","697,303","328,145","47,752","375,897","500,302",0.5923,0.2757,0.1614,0
24,SLP,San Luis Potosí,58,"9,296","555,289","46,777","602,066","1,548,800","70,860","1,619,660","734,475","70,860","805,335","745,170",0.7452,0.434,0.0751,1
25,Sin,Sinaloa,18,"8,645","626,237","70,206","696,443","1,609,005","109,782","1,718,787","799,361","109,782","909,143","853,578",0.7337,0.3088,0.0129,1
26,Son,Sonora,72,"17,120","422,678","77,044","499,722","936,893","94,241","1,031,134","476,708","94,241","570,949","890,271",0.4748,0.2819,0.0191,1
27,Tab,Tabasco,17,"2,716","648,488","62,644","711,132","1,322,686","93,262","1,415,948","773,513","93,262","866,775","674,081",0.962,0.5365,0.0259,0
28,Tamps,Tamaulipas,43,"14,388","681,275","54,480","735,755","1,371,510","77,968","1,449,478","712,608","77,968","790,576","1,080,719",0.6304,0.3507,0.009,0
29,Tlax,Tlaxcala,60,"1,711","292,240","33,802","326,042","903,893","51,000","954,893","381,613","51,000","432,613","336,011",0.8697,0.4838,0.0297,1
30,Ver,Veracruz,212,"27,600","2,230,807","179,764","2,410,571","4,057,089","268,934","4,326,023","2,767,599","268,934","3,036,533","2,333,712",0.9559,0.6178,0.1068,0
31,Yuc,Yucatan,106,"10,257","431,369","50,164","481,533","819,641","69,827","889,468","452,774","69,827","522,601","593,084",0.7273,0.408,0.2879,0
32,Zac,Zacatecas,58,"6,598","441,148","33,066","474,214","900,295","54,402","954,697","560,882","54,402","615,284","429,333",1.0275,0.4676,0.0015,1
